campaign_platform,Facebook Ads,,,
,,,,
Row Labels,Sum of CPA,Sum of CPC_1,,
25-34, $16.29 , $7.46 ,,
35-44, $15.48 , $6.91 ,,
45-54, $12.95 , $5.97 ,,
55-64, $14.16 , $6.65 ,,
Grand Total, $15.96 , $7.27 ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
campaign_platform,(Multiple Items),,,
,,,,
Row Labels,Sum of CPC_1,,,
18-24, $16.29 ,,,
Desktop, $20.40 ,,,
Mobile, $15.61 ,,,
Tablet, $22.82 ,,,
25-34, $11.02 ,,,
Desktop, $21.04 ,,,
device, $7.46 ,,,
Mobile, $14.08 ,,,
Tablet, $14.59 ,,,
35-44, $11.33 ,,,
Desktop, $21.01 ,,,
device, $6.91 ,,,
Mobile, $13.02 ,,,
Tablet, $21.29 ,,,
45-54, $10.74 ,,,
Desktop, $20.39 ,,,
device, $5.97 ,,,
Mobile, $12.05 ,,,
Tablet, $9.65 ,,,
55-64, $14.00 ,,,
Desktop, $19.96 ,,,
device, $6.65 ,,,
Mobile, $12.04 ,,,
Tablet, $21.49 ,,,
65 or more, $14.15 ,,,
Desktop, $20.42 ,,,
Mobile, $12.28 ,,,
Tablet, $12.80 ,,,
Undetermined, $15.19 ,,,
Desktop, $17.94 ,,,
Mobile, $14.11 ,,,
Tablet, $14.73 ,,,
Grand Total, $12.41 ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
campaign_platform,Google Ads,,,
,,,,
Sum of CPC_1,Column Labels,,,
Row Labels,Desktop,Mobile,Tablet,Grand Total
18-24, $20.40 , $15.61 , $22.82 , $16.29 
Qtr1, $18.14 , $14.77 , $16.51 , $15.27 
Qtr2, $8.06 , $4.66 , $14.20 , $4.93 
Qtr3, $2.93 , $2.26 , $3.19 , $2.32 
Qtr4, $27.76 , $21.07 , $36.62 , $22.04 
25-34, $21.04 , $14.08 , $14.59 , $15.70 
Qtr1, $18.87 , $14.62 , $14.35 , $15.66 
Qtr2, $7.18 , $4.07 , $7.89 , $4.43 
Qtr3, $4.40 , $3.04 , $0.45 , $3.10 
Qtr4, $27.55 , $16.86 , $18.26 , $19.53 
35-44, $21.01 , $13.02 , $21.29 , $15.52 
Qtr1, $18.61 , $13.54 , $27.53 , $15.19 
Qtr2, $8.22 , $4.29 , $17.12 , $4.87 
Qtr3, $5.64 , $2.86 , $0.46 , $2.95 
Qtr4, $27.33 , $15.16 , $15.65 , $19.32 
45-54, $20.39 , $12.05 , $9.65 , $14.80 
Qtr1, $17.74 , $11.78 , $7.55 , $13.80 
Qtr2, $9.83 , $4.73 , $2.39 , $5.40 
Qtr3, $29.31 , $4.69 ,#DIV/0!, $5.40 
Qtr4, $26.89 , $15.41 , $12.80 , $19.52 
55-64, $19.96 , $12.04 , $21.49 , $14.71 
Qtr1, $17.65 , $11.78 , $31.01 , $13.76 
Qtr2, $10.90 , $4.69 , $9.01 , $5.79 
Qtr3, $3.52 , $1.88 ,#DIV/0!, $2.15 
Qtr4, $25.06 , $15.96 , $23.28 , $19.59 
65 or more, $20.42 , $12.28 , $12.80 , $14.15 
Qtr1, $19.31 , $11.72 , $15.27 , $13.64 
Qtr2, $7.69 , $6.04 ,#DIV/0!, $6.21 
Qtr3,#DIV/0!, $4.71 , $0.45 , $4.45 
Qtr4, $24.51 , $15.55 , $0.43 , $17.54 
Undetermined, $17.94 , $14.11 , $14.73 , $15.19 
Qtr1, $15.45 , $13.13 , $11.43 , $13.80 
Qtr2, $6.21 , $4.41 , $6.53 , $4.65 
Qtr3, $5.26 , $1.54 , $2.00 , $1.87 
Qtr4, $25.60 , $19.49 , $23.31 , $21.27 
Grand Total, $20.08 , $14.24 , $16.99 , $15.63 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
campaign_platform,Google Ads,,,
,,,,
Sum of spends,Column Labels,,,
Row Labels,Desktop,Mobile,Tablet,Grand Total
18-24,78002.72,379215.54,2601.31,459819.57
25-34,214933.89,474574.77,1911.43,691420.09
35-44,108303.05,148640.09,872.83,257815.97
45-54,31376.06,36695.05,434.32,68505.43
55-64,8980.31,10993.36,236.44,20210.11
65 or more,8659,17413.26,153.62,26225.88
Undetermined,137635.47,276089,1281.74,415006.21
Grand Total,587890.5,1343621.07,7491.69,1939003.26
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
